sample	AlvarezOrdonezA_xxxx__C01-19	AlvarezOrdonezA_xxxx__C02-16	AlvarezOrdonezA_xxxx__C02-17	AlvarezOrdonezA_xxxx__C02-18	AlvarezOrdonezA_xxxx__C02-19	AlvarezOrdonezA_xxxx__C03-16	AlvarezOrdonezA_xxxx__C03-17	AlvarezOrdonezA_xxxx__C03-18	AlvarezOrdonezA_xxxx__C03-19	AlvarezOrdonezA_xxxx__C04-16	AlvarezOrdonezA_xxxx__C04-17	AlvarezOrdonezA_xxxx__C04-18	AlvarezOrdonezA_xxxx__C04-19	AlvarezOrdonezA_xxxx__C05-16	AlvarezOrdonezA_xxxx__C05-17	AlvarezOrdonezA_xxxx__C05-18	AlvarezOrdonezA_xxxx__C05-19	AlvarezOrdonezA_xxxx__C06-16	AlvarezOrdonezA_xxxx__C06-17	AlvarezOrdonezA_xxxx__C06-18	AlvarezOrdonezA_xxxx__C06-19	AlvarezOrdonezA_xxxx__C07-16	AlvarezOrdonezA_xxxx__C07-17	AlvarezOrdonezA_xxxx__C07-18	AlvarezOrdonezA_xxxx__C07-19	AlvarezOrdonezA_xxxx__C08-16	AlvarezOrdonezA_xxxx__C08-17	AlvarezOrdonezA_xxxx__C08-18	AlvarezOrdonezA_xxxx__C08-19	AlvarezOrdonezA_xxxx__F01-16	AlvarezOrdonezA_xxxx__F01-17	AlvarezOrdonezA_xxxx__F01-18	AlvarezOrdonezA_xxxx__F01-19	AlvarezOrdonezA_xxxx__F01-31A	AlvarezOrdonezA_xxxx__F01-31B	AlvarezOrdonezA_xxxx__F02-18	AlvarezOrdonezA_xxxx__F02-19	AlvarezOrdonezA_xxxx__F02-31A	AlvarezOrdonezA_xxxx__F02-31B	AlvarezOrdonezA_xxxx__F03-16	AlvarezOrdonezA_xxxx__F03-17	AlvarezOrdonezA_xxxx__F03-18	AlvarezOrdonezA_xxxx__F03-19	AlvarezOrdonezA_xxxx__F03-31	AlvarezOrdonezA_xxxx__F04-16	AlvarezOrdonezA_xxxx__F04-17	AlvarezOrdonezA_xxxx__F04-18	AlvarezOrdonezA_xxxx__F04-19	AlvarezOrdonezA_xxxx__F04-31A	AlvarezOrdonezA_xxxx__F04-31B	AlvarezOrdonezA_xxxx__F05-16	AlvarezOrdonezA_xxxx__F05-17	AlvarezOrdonezA_xxxx__F05-18	AlvarezOrdonezA_xxxx__F05-19	AlvarezOrdonezA_xxxx__F05-31A	AlvarezOrdonezA_xxxx__F05-31B	AlvarezOrdonezA_xxxx__F06-16	AlvarezOrdonezA_xxxx__F06-17	AlvarezOrdonezA_xxxx__F06-18	AlvarezOrdonezA_xxxx__F06-19	AlvarezOrdonezA_xxxx__F06-31A	AlvarezOrdonezA_xxxx__F06-31B	AlvarezOrdonezA_xxxx__F07-16	AlvarezOrdonezA_xxxx__F07-17	AlvarezOrdonezA_xxxx__F07-18	AlvarezOrdonezA_xxxx__F07-19	AlvarezOrdonezA_xxxx__F07-31A	AlvarezOrdonezA_xxxx__F07-31B	AlvarezOrdonezA_xxxx__Q01-20	AlvarezOrdonezA_xxxx__Q01-21	AlvarezOrdonezA_xxxx__Q01-22	AlvarezOrdonezA_xxxx__Q01-23	AlvarezOrdonezA_xxxx__Q01-23X	AlvarezOrdonezA_xxxx__Q01-24	AlvarezOrdonezA_xxxx__Q01-25	AlvarezOrdonezA_xxxx__Q01-26	AlvarezOrdonezA_xxxx__Q01-27	AlvarezOrdonezA_xxxx__Q01-28	AlvarezOrdonezA_xxxx__Q01-29	AlvarezOrdonezA_xxxx__Q01-30	AlvarezOrdonezA_xxxx__Q02-20	AlvarezOrdonezA_xxxx__Q02-21	AlvarezOrdonezA_xxxx__Q02-23	AlvarezOrdonezA_xxxx__Q02-24	AlvarezOrdonezA_xxxx__Q02-25	AlvarezOrdonezA_xxxx__Q02-26	AlvarezOrdonezA_xxxx__Q02-27	AlvarezOrdonezA_xxxx__Q02-28	AlvarezOrdonezA_xxxx__Q02-29	AlvarezOrdonezA_xxxx__Q02-30	AlvarezOrdonezA_xxxx__Q03-20	AlvarezOrdonezA_xxxx__Q03-21	AlvarezOrdonezA_xxxx__Q03-22	AlvarezOrdonezA_xxxx__Q03-23	AlvarezOrdonezA_xxxx__Q03-24	AlvarezOrdonezA_xxxx__Q03-25	AlvarezOrdonezA_xxxx__Q03-26	AlvarezOrdonezA_xxxx__Q03-27	AlvarezOrdonezA_xxxx__Q03-28	AlvarezOrdonezA_xxxx__Q03-29	AlvarezOrdonezA_xxxx__Q03-30	AlvarezOrdonezA_xxxx__Q04-20	AlvarezOrdonezA_xxxx__Q04-21	AlvarezOrdonezA_xxxx__Q04-22	AlvarezOrdonezA_xxxx__Q04-23	AlvarezOrdonezA_xxxx__Q04-24	AlvarezOrdonezA_xxxx__Q04-25	AlvarezOrdonezA_xxxx__Q04-26	AlvarezOrdonezA_xxxx__Q04-27	AlvarezOrdonezA_xxxx__Q04-28	AlvarezOrdonezA_xxxx__Q04-29	AlvarezOrdonezA_xxxx__Q04-30	AlvarezOrdonezA_xxxx__Q05-20	AlvarezOrdonezA_xxxx__Q05-21	AlvarezOrdonezA_xxxx__Q05-22	AlvarezOrdonezA_xxxx__Q05-23	AlvarezOrdonezA_xxxx__Q05-24	AlvarezOrdonezA_xxxx__Q05-25	AlvarezOrdonezA_xxxx__Q05-26	AlvarezOrdonezA_xxxx__Q05-27	AlvarezOrdonezA_xxxx__Q05-28	AlvarezOrdonezA_xxxx__Q05-29	AlvarezOrdonezA_xxxx__Q05-30	AlvarezOrdonezA_xxxx__Q06-20	AlvarezOrdonezA_xxxx__Q06-21	AlvarezOrdonezA_xxxx__Q06-22	AlvarezOrdonezA_xxxx__Q06-23	AlvarezOrdonezA_xxxx__Q06-24	AlvarezOrdonezA_xxxx__Q06-25	AlvarezOrdonezA_xxxx__Q06-26	AlvarezOrdonezA_xxxx__Q06-27	AlvarezOrdonezA_xxxx__Q06-28	AlvarezOrdonezA_xxxx__Q06-29	AlvarezOrdonezA_xxxx__Q06-30	AlvarezOrdonezA_xxxx__Q07-20	AlvarezOrdonezA_xxxx__Q07-21	AlvarezOrdonezA_xxxx__Q07-22	AlvarezOrdonezA_xxxx__Q07-23	AlvarezOrdonezA_xxxx__Q07-24	AlvarezOrdonezA_xxxx__Q07-25	AlvarezOrdonezA_xxxx__Q07-26	AlvarezOrdonezA_xxxx__Q07-27	AlvarezOrdonezA_xxxx__Q07-28	AlvarezOrdonezA_xxxx__Q07-29	AlvarezOrdonezA_xxxx__Q07-30	AlvarezOrdonezA_xxxx__Q08-20	AlvarezOrdonezA_xxxx__Q08-21	AlvarezOrdonezA_xxxx__Q08-22	AlvarezOrdonezA_xxxx__Q08-23	AlvarezOrdonezA_xxxx__Q08-24	AlvarezOrdonezA_xxxx__Q08-25	AlvarezOrdonezA_xxxx__Q08-26	AlvarezOrdonezA_xxxx__Q08-27	AlvarezOrdonezA_xxxx__Q08-28	AlvarezOrdonezA_xxxx__Q08-29	AlvarezOrdonezA_xxxx__Q08-30	AlvarezOrdonezA_xxxx__R01-16	AlvarezOrdonezA_xxxx__R01-17	AlvarezOrdonezA_xxxx__R01-18	AlvarezOrdonezA_xxxx__R01-19	AlvarezOrdonezA_xxxx__R02-18	AlvarezOrdonezA_xxxx__R02-19	AlvarezOrdonezA_xxxx__R03-16	AlvarezOrdonezA_xxxx__R03-17	AlvarezOrdonezA_xxxx__R03-18	AlvarezOrdonezA_xxxx__R03-19	AlvarezOrdonezA_xxxx__R04-16	AlvarezOrdonezA_xxxx__R04-17	AlvarezOrdonezA_xxxx__R04-18	AlvarezOrdonezA_xxxx__R04-19
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022	0.00052	0.0	0.0	0.0	0.0	0.33926	0.0	0.0	0.0	13.07653	1.7805	0.00202	0.05541	0.07952	0.08532	0.03402	0.09675	0.27106	0.06017	0.31871	0.36775	2.71932	20.42514	24.22549	42.83897	32.54544	39.68785	8.01771	8.9599	7.9247	5.81134	0.0	56.09724	0.00975	5.41911	4.36234	6.50774	5.18153	2.09021	2.11237	0.31079	0.49191	0.0	9.69601	0.0	7.29584	9.22944	4.4628	6.17219	3.52112	3.38931	0.7332	1.26593	0.0	81.33717	0.01501	9.54781	8.83446	17.38415	17.76795	2.87027	3.35346	1.9937	2.56617	0.0	0.80687	0.00249	5.00112	4.15003	10.10455	9.18303	2.40982	3.47857	0.00751	0.0429	7.69837	0.16041	0.07434	3.62853	3.03541	5.28944	5.17485	4.01485	2.14404	0.02487	0.0334	0.38496	2.98884	0.05885	4.01955	6.08245	0.29593	0.52272	6.78243	9.2126	0.15498	0.14725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04957	0.02411	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08947	0.05781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0039	0.0	0.0	0.0	0.0	2.42699	0.0	0.0	0.0	84.73689	19.65136	0.07318	0.82807	1.18524	44.51201	0.60233	43.25257	5.42554	42.79644	0.78273	1.06743	0.0	71.44078	10.81806	19.73807	15.78887	20.99883	1.91199	2.72763	2.64863	2.21551	0.0	28.22314	0.02904	31.7541	28.95091	42.8413	36.34169	23.41878	23.03308	3.69003	7.52338	0.0	1.43226	0.00802	43.91421	54.63067	38.90204	47.90539	29.03417	28.39007	4.23291	8.25883	0.0	3.1149	0.03957	56.00867	48.78319	54.82671	60.4777	45.51793	52.99718	10.13481	16.37188	0.0	3.42637	0.00508	35.26666	32.10948	49.1227	48.91596	14.86685	19.4068	0.16076	1.13036	14.65279	87.14579	0.20532	25.81164	17.02534	37.57182	36.68195	27.06647	15.42365	0.3253	0.30139	0.27638	16.91675	0.25129	1.77623	2.45543	0.07789	0.1452	2.46985	3.22728	0.00776	0.01535	0.0	0.12694	0.0	0.0	0.0	0.0	0.0	0.0	0.00205	0.00145	0.0	0.0	0.04488	0.05251
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_falkenbergense|t__SGB7124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00211	0.00522	0.0	0.00348	0.05046	0.05018	0.0	0.03257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05145	0.0	0.15826	0.15302	0.05614	0.04608	0.34964	6.45022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38948	0.00145	16.90361	18.018	0.09891	0.14276	48.14821	50.69183	0.48548	0.0005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Paucilactobacillus|s__Paucilactobacillus_nenjiangensis|t__SGB49082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00457	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07198	0.07713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03024	0.04909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7e-05	0.00177	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_laudensis|t__SGB7991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05778	0.0	0.0	0.0	0.00409	0.0	0.00849	0.0031	0.00325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42639	0.00363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85214	1.43883	0.0	0.00267	0.00297	0.00097	0.0024	0.00861	0.00129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955	0.0	0.13455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01472	0.00535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00067	0.00347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00056	0.00046	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00152	0.0	0.01869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00467	0.0	0.0	0.0	0.0	0.0	0.0	0.07416	0.16433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00124	0.03981	0.0	0.0	0.0	0.0	0.0	0.03199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00259	0.0	0.00286	0.40712	0.10123	0.0	0.04384	1.46824	0.48011	1.14526	0.31765	5.33105	3.39632	15.09132	2.73226	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01711	0.20706	0.0	0.04123	0.06063	0.1113	0.63	0.41956	0.51075	4.45556	9.45276	0.0	0.00113	0.0	0.00015	0.00048	0.0	0.00126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00254	0.00997	0.0	0.0	21.3142	0.15349	0.0	0.03338	0.05969	0.11121	0.04939	0.00744	0.0429	0.0021	0.00144	8.02224	0.0552	0.00586	1.02624	1.48546	0.04709	0.03577	13.14215	13.33306	1.63732	0.5155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03183	0.01488	0.0	0.0	0.01997	0.00465
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sp_239c|t__SGB16641	0.0	0.0	0.0	0.0	0.06196	0.0	0.0	0.0	0.00293	0.0	0.0	0.0	0.0	0.0	0.0	0.12619	0.02935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05841	0.00358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03563	0.03343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00576	0.02165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01978	0.04358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00974	0.0	0.0	0.00275	0.0	0.0	0.0	0.0	0.54215	0.2621	0.0	0.0	0.0	0.0	0.0	0.0	0.01662	0.01314	0.0	0.0	0.01194	0.0313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32464	0.30167	0.0	0.07089	0.0	0.02203	0.0	0.0	0.00011	9e-05	0.0	0.0	0.52144	0.47534
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum|t__SGB7843	0.0	0.03487	0.03923	0.23337	1.73276	0.0	0.0	0.0	0.0	0.0	0.0	1.25204	0.0	0.00225	0.0	10.33494	24.70012	0.0	0.0	0.1627	0.01081	0.0	0.0	1.75637	4.31303	0.45107	0.0	78.87561	87.54405	0.0	0.0	0.07519	0.70715	0.0	0.0	0.07673	0.26054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3039	0.0	0.0	0.0	0.0	0.0	0.20261	4.10024	0.0	0.0	0.0	0.0	0.0	0.00996	0.0	0.0	0.0	0.0	13.47261	14.51247	0.0	0.0	0.0	0.0	0.07508	0.66845	0.57086	0.0	0.399	0.0	0.53661	0.0	21.25199	44.29814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00673	0.00409	0.0	50.02225	44.06532	0.0	0.0	0.0	0.0	0.0	0.00449	0.00836	0.0	0.05918	49.47697	34.80676	0.0	0.0	1.39099	0.0	0.0	0.15462	0.11638	0.0	0.0	1.63506	1.75018	0.0	0.0	0.00675	0.0	0.0	0.01673	0.00558	0.01341	0.03974	64.40525	22.49649	0.0	0.0	0.91781	0.0	0.0	0.0	0.0	0.0	0.0	1.80599	1.012	0.0	0.0	0.01197	0.00042	0.00249	0.12785	0.07815	0.00754	0.01739	38.65578	19.9212	0.0	0.0	0.05083	0.0	0.04622	0.01023	0.00675	0.0	0.417	0.24615	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_alimentarium|t__SGB16653	0.0	0.0	0.0	0.0	0.01981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46846	0.00614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20366	0.19748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11799	0.11609	0.0	0.0	0.0	0.0	0.0	0.00182	0.00021	0.0	0.0	0.49926	0.0739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus|t__SGB205880	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
