MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MilaniC_2019__SRS3591582__bin.10	MilaniC_2019	SRS3591582	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	847842.0	106.0	10880.0	62.06896552	0.0	0.359452587
MilaniC_2019__SRS3591582__bin.12	MilaniC_2019	SRS3591582	assigned	SGB17228	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_mongoliense	1799028.0	286.0	8372.0	93.22727273	3.272727273	0.645246211
MilaniC_2019__SRS3591582__bin.15	MilaniC_2019	SRS3591582	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1613658.0	58.0	40114.0	95.08733624	0.194080543	0.392433837
MilaniC_2019__SRS3591582__bin.18	MilaniC_2019	SRS3591582	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1420051.0	105.0	19609.0	92.14285714	0.0	0.509164107
MilaniC_2019__SRS3591582__bin.19	MilaniC_2019	SRS3591582	assigned	SGB7106	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_fermentum	1649727.0	158.0	14799.0	97.95081967	0.273224044	0.53325429
MilaniC_2019__SRS3591582__bin.20	MilaniC_2019	SRS3591582	assigned	SGB35146	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium_jensenii	1958144.0	747.0	2743.0	52.42324561	3.026315789	0.691246405
MilaniC_2019__SRS3591582__bin.4	MilaniC_2019	SRS3591582	assigned	SGB16673	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia	Rothia_kristinae	2283791.0	346.0	9057.0	94.26048565	0.993377483	0.722134381
MilaniC_2019__SRS3591582__bin.8	MilaniC_2019	SRS3591582	assigned	SGB7217	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_parabuchneri	1871302.0	444.0	5013.0	72.47920049	0.958333333	0.436716789
MilaniC_2019__SRS3591583__bin.1	MilaniC_2019	SRS3591583	assigned	SGB17256	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_bifidum	1700062.0	458.0	4119.0	78.48200571	2.150537634	0.632432817
MilaniC_2019__SRS3591585__bin.3	MilaniC_2019	SRS3591585	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1695055.0	59.0	44504.0	98.71179039	0.218340611	0.390576117
MilaniC_2019__SRS3591585__bin.5	MilaniC_2019	SRS3591585	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	710778.0	110.0	8369.0	50.0	1.724137931	0.357806516
MilaniC_2019__SRS3591601__bin.1	MilaniC_2019	SRS3591601	assigned	SGB17256	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_bifidum	2147641.0	95.0	35253.0	98.52534562	1.858678955	0.628646967
